epoch,False Positives (Negative),False Positives (Neutral),False Positives (Positive),False Negatives (Negative),False Negatives (Neutral),False Negatives (Positive),Training Accuracy,Validation Accuracy
54,36,39,36,24,32,55,0.9928613901138306,0.8017857074737549
55,43,32,46,22,47,52,0.9845330119132996,0.7839285731315613
56,53,28,36,17,49,51,0.9863176941871643,0.7910714149475098
57,49,26,44,21,51,47,0.9803688526153564,0.7875000238418579
58,47,32,38,22,36,59,0.9839381575584412,0.7910714149475098
59,48,30,45,22,46,55,0.9886972308158875,0.7803571224212646
60,47,32,45,22,46,56,0.9934563040733337,0.7785714268684387
61,38,34,43,22,39,54,0.9892920851707458,0.7946428656578064
62,38,36,45,25,44,50,0.9881023168563843,0.7875000238418579
63,39,35,52,26,45,55,0.9821534752845764,0.7749999761581421
64,39,31,51,28,45,48,0.9892920851707458,0.7839285731315613
65,39,34,41,23,35,56,0.9869125485420227,0.7964285612106323
66,51,31,44,20,43,63,0.9886972308158875,0.7749999761581421
67,45,36,39,20,39,61,0.9857227802276611,0.7857142686843872
68,36,36,48,24,40,56,0.9922665357589722,0.7857142686843872
69,40,32,50,24,48,50,0.9928613901138306,0.7821428775787354
70,33,37,44,23,40,51,0.9934563040733337,0.7964285612106323
71,34,33,43,24,39,47,0.9892920851707458,0.8035714030265808
72,40,33,42,22,40,53,0.9892920851707458,0.7946428656578064
73,42,30,47,23,45,51,0.9910767674446106,0.7875000238418579
74,36,50,34,27,31,62,0.9881023168563843,0.7857142686843872
75,42,28,40,23,40,47,0.9910767674446106,0.8035714030265808
76,48,31,34,17,41,55,0.9928613901138306,0.7982142567634583
77,39,28,45,26,42,44,0.9922665357589722,0.800000011920929
78,48,31,37,20,39,57,0.9845330119132996,0.7928571701049805
79,38,36,45,28,42,49,0.989886999130249,0.7875000238418579
80,36,31,43,27,40,43,0.9946460723876953,0.8035714030265808
81,44,33,35,21,37,54,0.9910767674446106,0.800000011920929
82,40,28,44,22,45,45,0.9952409267425537,0.800000011920929
83,35,27,45,21,44,42,0.9910767674446106,0.8089285492897034
84,31,30,50,31,40,40,0.989886999130249,0.8017857074737549
85,36,27,46,24,43,42,0.9910767674446106,0.8053571581840515
86,48,25,41,20,45,49,0.9910767674446106,0.7964285612106323
87,35,33,48,29,39,48,0.9904818534851074,0.7928571701049805
88,42,30,47,23,45,51,0.989886999130249,0.7875000238418579
89,45,29,44,20,47,51,0.9922665357589722,0.7892857193946838
90,40,35,39,21,42,51,0.9892920851707458,0.7964285612106323
91,49,35,34,17,41,60,0.9940511584281921,0.7892857193946838
92,51,27,34,16,42,54,0.9940511584281921,0.800000011920929
93,42,30,38,20,42,48,0.9946460723876953,0.8035714030265808
94,36,34,38,22,40,46,0.991671621799469,0.8071428537368774
95,40,37,37,21,39,54,0.9910767674446106,0.7964285612106323
96,42,28,50,22,52,46,0.991671621799469,0.7857142686843872
97,43,36,36,21,38,56,0.9946460723876953,0.7946428656578064
98,41,35,41,22,42,53,0.9940511584281921,0.7910714149475098
99,36,40,38,22,39,53,0.9946460723876953,0.7964285612106323
100,34,34,47,19,49,47,0.9934563040733337,0.7946428656578064
101,48,25,41,17,47,50,0.989886999130249,0.7964285612106323
102,34,40,38,21,36,55,0.9910767674446106,0.800000011920929
103,36,37,34,18,36,53,0.989886999130249,0.8089285492897034
104,40,36,30,18,30,58,0.9928613901138306,0.8107143044471741
105,41,31,35,17,42,48,0.9928613901138306,0.8089285492897034
106,40,32,42,16,45,53,0.991671621799469,0.7964285612106323
107,39,30,42,16,46,49,0.9976204633712769,0.8017857074737549
108,41,30,39,16,42,52,0.9940511584281921,0.8035714030265808
109,44,27,45,15,52,49,0.9928613901138306,0.7928571701049805
110,38,30,39,19,41,47,0.9946460723876953,0.8089285492897034
111,39,26,46,21,47,43,0.9970256090164185,0.8017857074737549
112,41,32,37,21,37,52,0.9976204633712769,0.8035714030265808
113,38,27,50,23,49,43,0.9946460723876953,0.7946428656578064
114,46,32,41,22,43,54,0.9875074625015259,0.7875000238418579
115,47,30,41,19,45,54,0.9940511584281921,0.7892857193946838
116,50,27,47,20,50,54,0.9958358407020569,0.7785714268684387
117,46,26,42,20,43,51,0.9910767674446106,0.7964285612106323
118,52,29,39,20,45,55,0.9857227802276611,0.7857142686843872
119,42,28,42,20,45,47,0.9940511584281921,0.800000011920929
120,44,25,51,22,51,47,0.9934563040733337,0.7857142686843872
121,50,28,35,18,40,55,0.9928613901138306,0.7982142567634583
122,43,30,34,21,38,48,0.991671621799469,0.8089285492897034
123,40,33,40,22,41,50,0.9928613901138306,0.7982142567634583
124,36,33,42,24,40,47,0.9922665357589722,0.8017857074737549
125,41,29,51,25,50,46,0.9928613901138306,0.7839285731315613
126,47,33,29,15,35,59,0.9940511584281921,0.8053571581840515
127,40,32,41,23,44,46,0.9910767674446106,0.7982142567634583
128,29,44,36,27,31,51,0.9928613901138306,0.8053571581840515
