epoch,False Positives (Negative),False Positives (Neutral),False Positives (Positive),False Negatives (Negative),False Negatives (Neutral),False Negatives (Positive),Training Accuracy,Validation Accuracy
48,35,36,53,32,50,42,0.9910767674446106,0.7785714268684387
49,35,40,53,34,47,47,0.991671621799469,0.7714285850524902
50,30,37,69,46,48,42,0.9940511584281921,0.7571428418159485
51,44,27,53,23,58,43,0.9892920851707458,0.7785714268684387
52,34,33,54,28,49,44,0.9940511584281921,0.7839285731315613
53,34,41,38,25,39,49,0.9904818534851074,0.7982142567634583
54,36,34,50,29,48,43,0.9910767674446106,0.7857142686843872
55,29,36,62,34,53,40,0.9845330119132996,0.7732142806053162
56,37,42,48,32,43,52,0.9910767674446106,0.7732142806053162
57,24,40,59,41,42,40,0.9857227802276611,0.7803571224212646
58,40,37,47,28,48,48,0.9869125485420227,0.7785714268684387
59,36,44,46,29,45,52,0.989886999130249,0.7749999761581421
60,35,37,50,34,42,46,0.9892920851707458,0.7821428775787354
61,28,34,59,37,48,36,0.9910767674446106,0.7839285731315613
62,24,36,65,44,44,37,0.9934563040733337,0.7767857313156128
63,21,38,71,46,50,34,0.9886972308158875,0.7678571343421936
64,29,34,60,37,45,41,0.991671621799469,0.7803571224212646
65,34,32,62,30,53,45,0.9922665357589722,0.7714285850524902
66,26,37,53,32,41,43,0.9904818534851074,0.7928571701049805
67,34,40,49,35,41,47,0.9910767674446106,0.7803571224212646
68,26,36,60,39,42,41,0.9910767674446106,0.7821428775787354
69,27,43,55,36,43,46,0.9863176941871643,0.7767857313156128
70,30,33,76,41,58,40,0.9839381575584412,0.7517856955528259
71,36,38,55,34,49,46,0.9904818534851074,0.7696428298950195
72,33,37,46,28,43,45,0.9946460723876953,0.7928571701049805
73,31,31,63,34,52,39,0.991671621799469,0.7767857313156128
74,40,29,56,27,52,46,0.9958358407020569,0.7767857313156128
75,40,28,48,28,45,43,0.9928613901138306,0.7928571701049805
76,36,33,46,29,42,44,0.9928613901138306,0.7946428656578064
77,36,29,44,24,42,43,0.9934563040733337,0.8053571581840515
78,32,29,55,33,44,39,0.9970256090164185,0.7928571701049805
79,34,29,59,36,48,38,0.9964306950569153,0.7821428775787354
80,32,35,50,33,41,43,0.9910767674446106,0.7910714149475098
81,31,31,52,32,44,38,0.9940511584281921,0.7964285612106323
82,26,30,53,33,39,37,0.9934563040733337,0.8053571581840515
83,33,29,54,30,46,40,0.9952409267425537,0.7928571701049805
84,30,35,50,32,44,39,0.9922665357589722,0.7946428656578064
85,42,30,48,30,44,46,0.9952409267425537,0.7857142686843872
86,40,30,55,35,46,44,0.9946460723876953,0.7767857313156128
87,39,31,60,32,54,44,0.9946460723876953,0.7678571343421936
88,29,30,57,34,43,39,0.991671621799469,0.7928571701049805
89,32,32,54,30,47,41,0.991671621799469,0.7892857193946838
90,36,35,46,26,43,48,0.9946460723876953,0.7910714149475098
91,31,38,52,35,42,44,0.9964306950569153,0.7839285731315613
92,30,33,58,29,52,40,0.9946460723876953,0.7839285731315613
93,28,36,58,33,48,41,0.9928613901138306,0.7821428775787354
94,32,44,31,28,30,49,0.9886972308158875,0.8089285492897034
95,37,35,49,26,51,44,0.9928613901138306,0.7839285731315613
96,32,35,51,32,43,43,0.9875074625015259,0.7892857193946838
97,27,32,58,38,47,32,0.9922665357589722,0.7910714149475098
98,33,31,44,28,40,40,0.9934563040733337,0.8071428537368774
99,35,42,45,35,38,49,0.9934563040733337,0.7821428775787354
100,35,40,45,30,42,48,0.991671621799469,0.7857142686843872
101,31,36,50,32,41,44,0.9934563040733337,0.7910714149475098
102,33,33,59,34,50,41,0.991671621799469,0.7767857313156128
103,27,44,59,42,45,43,0.9952409267425537,0.7678571343421936
104,43,29,52,25,57,42,0.9952409267425537,0.7785714268684387
105,31,33,61,29,52,44,0.9958358407020569,0.7767857313156128
106,36,43,41,28,40,52,0.9970256090164185,0.7857142686843872
107,34,28,64,33,55,38,0.9857227802276611,0.7749999761581421
108,38,33,52,28,52,43,0.9940511584281921,0.7803571224212646
109,41,30,49,24,53,43,0.9928613901138306,0.7857142686843872
